,words,clues
3713,CLERK,Uriah Heep's profession
3714,SPAM,Much-maligned food
3715,CLIP,Hair holder
3716,TORI,Spelling or Amos
3717,VOLT,Chevy plug-in car
3718,SAT,Took a load off
3719,ELI,Manning of the gridiron
3720,POOH,"""Winnie-the-___"""
3721,MWAH,"""Kisses, dahling!"""
3722,TAPED,Recorded on a cassette
3723,ACNE,Something cleared up by Clearasil
3724,OHIO,Akron's home
3725,OHARA,"To whom Butler said ""Frankly, my dear, I don't give a damn"""
3726,RUMPROAST,Slow-cooked beef entree
3727,LASED,Used a light beam on in surgery
3728,ALITO,Samuel of the Supreme Court
3729,PLEAD,"""How do you ___?"" (court query)"
3730,TAB,Indenting key
3731,DAKOTA,Indian tribe that lent its name to two states
3732,ELDORADO,Fabled city of wealth sought by conquistadors
3733,ERE,"Before, to Byron"
3734,IRA,401(k) relative
3735,SOFABED,Versatile piece of furniture
3736,ENACT,Put into law
3737,CARS,Detroit factory output
3738,STILTWALKER,One with a leg up in the circus business?
3739,MATH,Trig or calc
3740,OPALS,October birthstones
3741,ISRAELI,Tel Aviv native
3742,BYU,Sch. run by the Latter-day Saints
3743,OWE,Have bills
3744,SKINGAME,Gambling scam
3745,STONED,High on pot
3746,CAN,Bottle alternative
3747,ROARS,Laughs loudly
3748,ZALES,Big name in retail jewelry
3749,AWGEE,"""Shucks, you shouldn't have!"""
3750,FAIRYTALE,"What the starts of 17-, 26-, 35- and 50-Across are"
3751,SAULT,"___ Ste. Marie, Mich."
3752,ASTO,Regarding
3753,ETAL,List-ending abbr.
3754,TYPOS,Writers' wrongs?
3755,NEST,Container for eggs
3756,REDS,Cincinnati team
3757,PARADE,Macy's Thanksgiving event
3758,OCULAR,Eye-related
3759,ONMIKE,Like a live radio announcer
3760,HEPTO,"Aware of, in cool-cat slang"
3761,MOO,Cow sound
3762,WHAP,Fly swatter sound
3763,AISLE,Passage in a plane
3764,HOTELS,Red Monopoly purchases
3765,TOLDOF,"Described, as something in the past"
3766,AHA,"""So THAT's the story here!"""
3767,PASTABAR,Carb-heavy buffet area
3768,EREADER,Kindle or Nook
3769,DADBODS,"Some pudgy, middle-aged physiques, informally"
3770,ROTINI,Corkscrew-shaped noodles
3771,ADO,Commotion
3772,ARAL,Asia's ___ Sea
3773,RACES,Off to the ___ (starting strong)
3774,ACT,Coll. entrance exam
3775,ETHAN,"Actor Hawke of ""Boyhood"""
3776,TWO,What it takes to tango
3777,STRINGUP,"Hang, Wild West-style"
3778,APB,"Alert to squad cars, for short"
3779,LAYS,Big name in potato chips
3780,KLUTZY,All thumbs
3781,MISCAST,Wrong for the role
3782,ASKAWAY,"""Go ahead, shoot!"""
3783,EGRETS,Long-necked waders
3784,LAO,Language in Vientiane
3785,IMAFAN,"""Your work is wonderful"""
3786,ONLATE,"Airing after midnight, say"
3787,WEELAD,"Little shaver, to a Scot"
3788,EDSELS,'50s Ford flops
3789,ERASE,Clear the blackboard
3790,OATER,"Many a John Wayne film, informally"
3791,SITS,Takes a chair
3792,ELO,"""Evil Woman"" rock grp."
3793,ROT,"""Balderdash!"""
3794,PLAYER,One side of a 69-Across showdown
3795,TOOLBAR,Strip of buttons
3796,DEALER,Other side of the showdown
3797,OEUVRE,Collective works
3798,VAMOOSE,"""Get lost!"""
3799,ARCADE,Pinball wizard's hangout
3800,TERESA,Mother ___
3801,SKABAND,"Entertainment on a Jamaican cruise, perhaps"
3802,LITMUS,Kind of paper or test
3803,TWOSTRIPER,"Lieutenant, informally"
3804,SERVICEACE,It's unreturnable
3805,EAR,Musicianship
3806,MONEYTREE,Green plant?
3807,ZEN,Path to enlightenment
3808,DYAN,Cannon in movies
3809,LOT,Developer's purchase
3810,POI,Samoan staple
3811,WES,Bullets legend Unseld
3812,BEST,Top-shelf
3813,OBI,Sushi restaurant wrap?
3814,SPUNK,Moxie
3815,UFO,X-File subject
3816,THREEBEARS,Fairy tale family
3817,GIVEMEFIVE,Celebratory request
3818,COOLBEANS,"""Great!"""
3819,DAYTRADER,One doesn't hold stock for long
3820,BRO,"""My man"""
3821,ELSE,"""What ___?"""
3822,ELF,Storied workshop worker
3823,IRON,"Sand wedge, e.g."
3824,ONO,Sean Lennon's mother
3825,YAMS,Thanksgiving dish
3826,TWENTYONE,Game depicted in the shaded squares
3827,ANTS,Carpenters with small jobs?
3828,TAFT,Last mustachioed president
3829,SERIF,See 125-Across
3830,LILT,Easy-breezy tune
3831,BARRACKS,Place where taps may be heard
3832,FACETIME,Skype alternative
3833,SIXDEGREES,"Amount of separation, in a party game"
3834,CASHISKING,Investment seminar catchphrase
3835,ATEIT,Lost big
3836,ANNTAYLOR,Big retailer in women's fashion
3837,FENDI,Upscale bag brand
3838,YES,"""Damn right!"""
3839,FOYT,Indy 500 winner A. J.
3840,EGG,Silly Putty holder
3841,FIFI,Standard poodle name
3842,DOG,Hound
3843,AUTO,Digital camera mode
3844,MIENS,Countenances
3845,SINS,Confession subjects
3846,JACKLONDON,"""The Call of the Wild"" author"
3847,ELITEEIGHT,March Madness stage
3848,AFAR,In the distance
3849,OBESE,"Having a lot to lose, maybe"
3850,TAKIN,"""___ Care of Business"" (1974 Bachman-Turner Overdrive hit)"
3851,DREI,Eins + zwei
3852,MEMO,Message with a subject line
3853,LONER,Unlikely partygoer
3854,STEAD,Lieu
3855,EARN,Bring in
3856,IWIN,1-Across's cry
3857,EXTS,Tel. no. add-ons
3858,SANS,"With 76-Across, like Arial and Helvetica"
3859,BUST,14-Across's result
3860,POTTED,Like houseplants
3861,LEEWAY,Wiggle room
3862,AURORA,Light show
3863,YVES,"The ""Y"" of Y.S.L."
3864,ERST,"Once, at one time"
3865,REAR,Behind
3866,TVSPOT,Campaign expense
3867,OAKEN,Wine barrel descriptor
3868,OMAREPPS,"Linc's portrayer in 1999's ""The Mod Squad"""
3869,LOB,One may get smashed
3870,BOASTING,Chest-thumping
3871,ASNER,"""Up"" voice actor"
3872,REDREW,"Changed, as voting districts"
3873,DALI,"Artist who said ""I don't do drugs. I am drugs"""
3874,ERIC,Speed skater Heiden
3875,ACTE,Entr'___
3876,LAMAZE,Delivery instructions?
3877,EDUCES,Infers from data
3878,RESENT,Feel bitter about
3879,IMO,"""I think,"" in texts"
3880,VEE,Neckline shape
3881,YOU,Word shortened to its last letter in texts
3882,NOEL,Holiday air
3883,LIBEL,Tabloid issue
3884,SUMTO,Total
3885,BOFA,"Citi rival, informally"
3886,BEBE,"Neuwirth of ""Frasier"""
3887,SRS,Some SAT takers: Abbr.
3888,KID,Tease
3889,FERN,Item by many a reception desk
3890,TCBY,Super Fro-Yo seller
3891,HORA,"""Hava Nagila"" dance"
3892,ROOMTAXES,Hotel bill add-ons
3893,EAST,Right on a map
3894,ANEW,From square one
3895,VAIN,Marked by futility
3896,EYRE,"Jane Rochester, nee ___"
3897,IDONTMIND,"""O.K. by me"""
3898,VENT,Blow off steam
3899,EROS,Matchmaker of myth
3900,ENE,Suffix with acetyl
3901,LTR,Printer paper size: Abbr.
3902,FYI,BTW
3903,SARDI,Famed Broadway restaurateur
3904,ESSEN,Ruhr industrial city
3905,OFFAL,Butcher's discards
3906,ALIKE,How great minds are said to think
3907,FRETFUL,Worried
3908,TAG,Laser ___
3909,LEI,Maui memento
3910,ITSFINE,"""O.K. by me"""
3911,BITE,Word after snake or sound
3912,CRAYONBOX,Container that may have a sharpener
3913,KENT,"Superman, at other times"
3914,ASOF,Starting on
3915,CHRISTIAN,Like the sign of the fish
3916,ENDO,"Marijuana, in modern slang"
3917,SAY,"""___ cheese!"""
3918,STEINER,"Composer Max who was called ""the father of film music"""
3919,CYGNETS,Young swans
3920,GIG,Part of a tour
3921,AGE,Basis of some discrimination
3922,OTOOLE,"""Lawrence of Arabia"" star"
3923,FIENDS,Maniacs
3924,AKRON,City that's home to the Firestone Country Club
3925,MOSES,Divider in the Bible?
3926,SLATS,Venetian blind parts
3927,SIDEB,Bottom of an LP
3928,JAMI,"""Twister"" actress Gertz"
3929,AFEW,Some
3930,CAMI,"Intimate garment, for short"
3931,DENT,Bit of progress
3932,IKEA,Company with a noted catalog
3933,GRAU,"Dull color, in DÃ¼sseldorf"
3934,HERS,Word on a towel
3935,TINT,Shade
